   1,   0,   0, 139, 133, 134
   2,   1,   0, 101,  94,  97
   3,   2,   0,  97,  90,  93
   4,   3,   0, 131, 124, 127
   5,   4,   0, 169, 162, 165
   6,   5,   0, 167, 160, 165
   7,   6,   0, 143, 136, 141
   8,   7,   0, 112, 105, 110
   9,   8,   0,  99,  91,  98
  10,   9,   0,  95,  88,  93
  11,  10,   0, 102,  95, 100
  12,  11,   0, 114, 107, 112
  13,  12,   0, 119, 112, 117
  14,  13,   0, 125, 118, 121
  15,  14,   0, 135, 128, 131
  16,  15,   0, 142, 135, 138
  17,  16,   0, 129, 122, 125
  18,  17,   0, 100,  93,  96
  19,  18,   0, 112, 105, 108
  20,  19,   0, 152, 145, 148
  21,  20,   0, 176, 169, 172
  22,  21,   0, 165, 158, 161
  23,  22,   0, 130, 123, 126
  24,  23,   0, 107, 100, 103
  25,  24,   0, 104,  95,  98
  26,  25,   0, 106,  97, 100
  27,  26,   0, 114, 105, 108
  28,  27,   0, 127, 118, 121
  29,  28,   0, 130, 122, 123
  30,  29,   0, 135, 127, 128
  31,  30,   0, 146, 138, 139
  32,  31,   0, 142, 134, 134
  33,  32,   0, 108, 100, 101
  34,  33,   0, 113, 105, 106
  35,  34,   0, 153, 143, 143
  36,  35,   0, 182, 173, 170
  37,  36,   0, 169, 158, 154
  38,  37,   0, 133, 122, 118
  39,  38,   0, 106,  94,  88
  40,  39,   0, 101,  89,  83
  41,  40,   0, 100,  89,  81
  42,  41,   0,  93,  82,  74
  43,  42,   0,  95,  84,  76
  44,  43,   0, 101,  90,  82
  45,  44,   0, 122, 109, 101
  46,  45,   0, 147, 134, 126
  47,  46,   0, 165, 153, 143
  48,  47,   0, 181, 169, 159
  49,  48,   0, 198, 186, 176
  50,  49,   0, 194, 182, 172
  51,  50,   0, 121, 109,  99
  52,  51,   0,  44,  35,  22
  53,  52,   0,  30,  22,   9
  54,  53,   0,  44,  36,  23
  55,  54,   0,  54,  46,  33
  56,  55,   0,  57,  52,  37
  57,  56,   0,  54,  50,  32
  58,  57,   0,  56,  52,  34
  59,  58,   0,  59,  55,  37
  60,  59,   0,  60,  56,  38
  61,   0,   1, 142, 136, 137
  62,   1,   1, 103,  96,  99
  63,   2,   1,  99,  92,  95
  64,   3,   1, 133, 126, 129
  65,   4,   1, 172, 165, 168
  66,   5,   1, 169, 162, 167
  67,   6,   1, 144, 137, 142
  68,   7,   1, 112, 105, 110
  69,   8,   1,  96,  88,  95
  70,   9,   1,  94,  87,  92
  71,  10,   1, 104,  97, 102
  72,  11,   1, 117, 110, 115
  73,  12,   1, 122, 115, 120
  74,  13,   1, 125, 118, 121
  75,  14,   1, 134, 127, 130
  76,  15,   1, 143, 136, 139
  77,  16,   1, 129, 122, 125
  78,  17,   1,  99,  92,  95
  79,  18,   1, 112, 105, 108
  80,  19,   1, 155, 148, 151
  81,  20,   1, 178, 171, 174
  82,  21,   1, 164, 157, 160
  83,  22,   1, 128, 121, 124
  84,  23,   1, 106,  99, 102
  85,  24,   1, 107,  98, 101
  86,  25,   1, 108,  99, 102
  87,  26,   1, 114, 105, 108
  88,  27,   1, 125, 116, 119
  89,  28,   1, 127, 119, 120
  90,  29,   1, 134, 126, 127
  91,  30,   1, 147, 139, 140
  92,  31,   1, 144, 136, 137
  93,  32,   1, 106,  98,  99
  94,  33,   1, 114, 106, 107
  95,  34,   1, 155, 145, 145
  96,  35,   1, 181, 172, 169
  97,  36,   1, 166, 155, 151
  98,  37,   1, 131, 120, 116
  99,  38,   1, 105,  93,  87
 100,  39,   1, 100,  88,  82
